job_id,job_title,company,location,experience_level,salary_inr,skills_required,date_posted,remote,industry,year,month,year_month,salary_lpa,level_numeric,skill_count,skills_clean,skills
JOB00014,Full Stack Developer,TechCorp India,Mumbai,Senior,2418762.0,"AWS, Python, Node.js, REST APIs, JavaScript, React, Docker, HTML",2023-03-28,Hybrid,Fintech,2023,3,2023-03,24.19,3,8,"Aws, Python, Node.Js, Rest Apis, Javascript, React, Docker, Html","Aws, Python, Node.Js, Rest Apis, Javascript, React, Docker, Html"
JOB00015,Data Scientist,IBM India,Ahmedabad,Mid,770674.0,"Big Data, SQL, Machine Learning, Pandas",2023-05-03,Yes,EdTech,2023,5,2023-05,7.71,2,4,"Big Data, Sql, Machine Learning, Pandas","Big Data, Sql, Machine Learning, Pandas"
JOB00016,Data Analyst,Flipkart,Kolkata,Principal,5916806.0,"Tableau, Pandas, Data Visualization, Excel, SQL, Statistics, Business Intelligence",2023-12-27,No,Fintech,2023,12,2023-12,59.17,5,7,"Tableau, Pandas, Data Visualization, Excel, Sql, Statistics, Business Intelligence","Tableau, Pandas, Data Visualization, Excel, Sql, Statistics, Business Intelligence"
JOB00017,Data Scientist,HCL Technologies,Kolkata,Entry,331778.0,"NLP, SQL, Data Visualization, Machine Learning, TensorFlow, Scikit-learn, NumPy",2024-07-07,Yes,Healthcare,2024,7,2024-07,3.32,1,7,"NLP, Sql, Data Visualization, Machine Learning, TensorFlow, Scikitlearn, Numpy","NLP, Sql, Data Visualization, Machine Learning, TensorFlow, Scikitlearn, Numpy"
JOB00018,DevOps Engineer,Flipkart,Ahmedabad,Mid,779046.0,"Ansible, Kubernetes, Docker, Monitoring, Linux, Terraform, Bash Scripting",2022-12-07,No,Finance,2022,12,2022-12,7.79,2,7,"Ansible, Kubernetes, Docker, Monitoring, Linux, Terraform, Bash Scripting","Ansible, Kubernetes, Docker, Monitoring, Linux, Terraform, Bash Scripting"
JOB00019,Cybersecurity Analyst,Flipkart,Noida,Lead,2622967.0,"Incident Response, Network Security, Penetration Testing, SIEM, Firewalls",2023-08-08,Hybrid,Fintech,2023,8,2023-08,26.23,4,5,"Incident Response, Network Security, Penetration Testing, Siem, Firewalls","Incident Response, Network Security, Penetration Testing, Siem, Firewalls"
JOB00020,DevOps Engineer,Infosys,Bangalore,Mid,899122.0,"Azure, Docker, Linux, Ansible, Bash Scripting, CI/CD",2023-10-05,Hybrid,E-commerce,2023,10,2023-10,8.99,2,6,"Azure, Docker, Linux, Ansible, Bash Scripting, Cicd","Azure, Docker, Linux, Ansible, Bash Scripting, Cicd"
JOB00021,Cloud Architect,Accenture,Kolkata,Principal,4160320.0,"Networking, Azure, GCP, AWS",2022-05-20,Yes,EdTech,2022,5,2022-05,41.6,5,4,"Networking, Azure, GCP, Aws","Networking, Azure, GCP, Aws"
JOB00022,Software Engineer,Capgemini,Delhi NCR,Principal,5993594.0,"Agile, Python, Microservices, REST APIs",2023-06-19,Yes,Healthcare,2023,6,2023-06,59.94,5,4,"Agile, Python, Microservices, Rest Apis","Agile, Python, Microservices, Rest Apis"
JOB00023,Full Stack Developer,TCS,Noida,Mid,1404318.0,"AWS, MongoDB, Python, JavaScript, Node.js, SQL",2022-07-24,Yes,EdTech,2022,7,2022-07,14.04,2,6,"Aws, Mongodb, Python, Javascript, Node.Js, Sql","Aws, Mongodb, Python, Javascript, Node.Js, Sql"
JOB00024,Backend Developer,Byju's,Pune,Mid,1065962.0,"Django, Flask, FastAPI, Node.js",2024-06-16,Hybrid,Fintech,2024,6,2024-06,10.66,2,4,"Django, Flask, Fastapi, Node.Js","Django, Flask, Fastapi, Node.Js"
JOB00025,Cloud Architect,Zoho,Chennai,Entry,650152.0,"Terraform, Azure, GCP, Security, AWS, Microservices, Networking, Kubernetes",2023-08-01,Hybrid,Healthcare,2023,8,2023-08,6.5,1,8,"Terraform, Azure, GCP, Security, Aws, Microservices, Networking, Kubernetes","Terraform, Azure, GCP, Security, Aws, Microservices, Networking, Kubernetes"
JOB00026,Software Engineer,Amazon India,Hyderabad,Senior,2559919.0,"Spring Boot, Java, Python, Microservices, SQL, C++, Agile",2022-01-08,Hybrid,Healthcare,2022,1,2022-01,25.6,3,7,"Spring Boot, Java, Python, Microservices, Sql, C++, Agile","Spring Boot, Java, Python, Microservices, Sql, C++, Agile"
JOB00027,Data Analyst,Freshworks,Noida,Lead,3656957.0,"R, SQL, Excel, Business Intelligence, Statistics, Pandas, Data Visualization",2024-01-27,Yes,E-commerce,2024,1,2024-01,36.57,4,7,"Sql, Excel, Business Intelligence, Statistics, Pandas, Data Visualization","Sql, Excel, Business Intelligence, Statistics, Pandas, Data Visualization"
JOB00028,Data Analyst,Byju's,Kolkata,Entry,461616.0,"SQL, Statistics, Tableau, R, Excel, Business Intelligence",2023-12-26,Hybrid,Fintech,2023,12,2023-12,4.62,1,6,"Sql, Statistics, Tableau, Excel, Business Intelligence","Sql, Statistics, Tableau, Excel, Business Intelligence"
JOB00029,Data Analyst,Accenture,Pune,Mid,870395.0,"Data Visualization, SQL, Python, Statistics, Pandas",2024-04-23,Yes,Fintech,2024,4,2024-04,8.7,2,5,"Data Visualization, Sql, Python, Statistics, Pandas","Data Visualization, Sql, Python, Statistics, Pandas"
JOB00030,Machine Learning Engineer,Capgemini,Kolkata,Lead,2581211.0,"Scikit-learn, REST APIs, AWS, Kubernetes, Docker, FastAPI, Azure",2022-02-18,No,Healthcare,2022,2,2022-02,25.81,4,7,"Scikitlearn, Rest Apis, Aws, Kubernetes, Docker, Fastapi, Azure","Scikitlearn, Rest Apis, Aws, Kubernetes, Docker, Fastapi, Azure"
JOB00031,Cybersecurity Analyst,Cognizant,Gurgaon,Entry,446341.0,"Incident Response, Firewalls, Ethical Hacking, SIEM, Network Security, Penetration Testing",2023-06-19,No,IT,2023,6,2023-06,4.46,1,6,"Incident Response, Firewalls, Ethical Hacking, Siem, Network Security, Penetration Testing","Incident Response, Firewalls, Ethical Hacking, Siem, Network Security, Penetration Testing"
JOB00032,Machine Learning Engineer,Google India,Gurgaon,Principal,5322692.0,"CI/CD, FastAPI, Kubernetes, MLOps, Deep Learning, Azure",2022-08-25,Yes,Healthcare,2022,8,2022-08,53.23,5,6,"Cicd, Fastapi, Kubernetes, Mlops, Deep Learning, Azure","Cicd, Fastapi, Kubernetes, Mlops, Deep Learning, Azure"
JOB00033,Data Scientist,Amazon India,Gurgaon,Lead,2503546.0,"Spark, Data Visualization, Pandas, Scikit-learn, NLP, TensorFlow, SQL, Statistics",2022-05-24,No,Fintech,2022,5,2022-05,25.04,4,8,"Spark, Data Visualization, Pandas, Scikitlearn, NLP, TensorFlow, Sql, Statistics","Spark, Data Visualization, Pandas, Scikitlearn, NLP, TensorFlow, Sql, Statistics"
JOB00034,Cybersecurity Analyst,Byju's,Hyderabad,Entry,677358.0,"Ethical Hacking, Firewalls, Penetration Testing, SIEM, Incident Response, OWASP",2023-08-29,Yes,E-commerce,2023,8,2023-08,6.77,1,6,"Ethical Hacking, Firewalls, Penetration Testing, Siem, Incident Response, Owasp","Ethical Hacking, Firewalls, Penetration Testing, Siem, Incident Response, Owasp"
JOB00035,AI Engineer,Oracle India,Chennai,Lead,3920438.0,"Vector Databases, Computer Vision, Prompt Engineering, LangChain, Python",2023-09-15,No,EdTech,2023,9,2023-09,39.2,4,5,"Vector Databases, Computer Vision, Prompt Engineering, Langchain, Python","Vector Databases, Computer Vision, Prompt Engineering, Langchain, Python"
JOB00036,Data Engineer,TCS,Pune,Senior,2475150.0,"Snowflake, Databricks, SQL, ETL, dbt, AWS, Kafka",2022-12-14,Hybrid,Fintech,2022,12,2022-12,24.75,3,7,"Snowflake, Databricks, Sql, Etl, Dbt, Aws, Kafka","Snowflake, Databricks, Sql, Etl, Dbt, Aws, Kafka"
JOB00037,AI Engineer,HCL Technologies,Bangalore,Principal,4905881.0,"NLP, Computer Vision, Vector Databases, Prompt Engineering",2023-02-12,Yes,Finance,2023,2,2023-02,49.06,5,4,"NLP, Computer Vision, Vector Databases, Prompt Engineering","NLP, Computer Vision, Vector Databases, Prompt Engineering"
JOB00038,DevOps Engineer,HCL Technologies,Bangalore,Principal,3805463.0,"Jenkins, Bash Scripting, Linux, Azure, Monitoring, Ansible, Terraform",2023-05-15,Yes,E-commerce,2023,5,2023-05,38.05,5,7,"Jenkins, Bash Scripting, Linux, Azure, Monitoring, Ansible, Terraform","Jenkins, Bash Scripting, Linux, Azure, Monitoring, Ansible, Terraform"
JOB00039,Software Engineer,Paytm,Noida,Mid,1429716.0,"SQL, Java, Git, JavaScript, Microservices, Agile, Docker, Python",2024-08-09,Hybrid,Healthcare,2024,8,2024-08,14.3,2,8,"Sql, Java, Git, Javascript, Microservices, Agile, Docker, Python","Sql, Java, Git, Javascript, Microservices, Agile, Docker, Python"
JOB00040,Product Manager,Paytm,Ahmedabad,Lead,3784825.0,"Roadmapping, A/B Testing, Agile, User Research, Data Analysis, SQL, Communication, Product Strategy",2023-07-22,Hybrid,Finance,2023,7,2023-07,37.85,4,8,"Roadmapping, Ab Testing, Agile, User Research, Data Analysis, Sql, Communication, Product Strategy","Roadmapping, Ab Testing, Agile, User Research, Data Analysis, Sql, Communication, Product Strategy"
JOB00041,Backend Developer,Accenture,Kolkata,Lead,2662494.0,"Django, FastAPI, Flask, Redis, Java, SQL",2022-11-05,Hybrid,Finance,2022,11,2022-11,26.62,4,6,"Django, Fastapi, Flask, Redis, Java, Sql","Django, Fastapi, Flask, Redis, Java, Sql"
JOB00042,Business Intelligence Analyst,Google India,Gurgaon,Mid,767348.0,"Business Analysis, ETL, Data Modeling, Excel, Python, SQL, Statistics",2024-05-10,Hybrid,IT,2024,5,2024-05,7.67,2,7,"Business Analysis, Etl, Data Modeling, Excel, Python, Sql, Statistics","Business Analysis, Etl, Data Modeling, Excel, Python, Sql, Statistics"
JOB00043,Cybersecurity Analyst,Accenture,Pune,Principal,5095433.0,"Network Security, SIEM, Incident Response, Penetration Testing, Ethical Hacking, Firewalls, OWASP",2024-09-26,No,E-commerce,2024,9,2024-09,50.95,5,7,"Network Security, Siem, Incident Response, Penetration Testing, Ethical Hacking, Firewalls, Owasp","Network Security, Siem, Incident Response, Penetration Testing, Ethical Hacking, Firewalls, Owasp"
JOB00044,Data Scientist,Freshworks,Gurgaon,Lead,3204914.0,"NLP, Deep Learning, R, Big Data, NumPy, Pandas, Python",2024-03-17,Hybrid,IT,2024,3,2024-03,32.05,4,7,"NLP, Deep Learning, Big Data, Numpy, Pandas, Python","NLP, Deep Learning, Big Data, Numpy, Pandas, Python"
JOB00045,Machine Learning Engineer,Amazon India,Kolkata,Lead,2784582.0,"PyTorch, Python, Docker, MLOps, Kubernetes, Scikit-learn, AWS",2023-11-01,No,E-commerce,2023,11,2023-11,27.85,4,7,"PyTorch, Python, Docker, Mlops, Kubernetes, Scikitlearn, Aws","PyTorch, Python, Docker, Mlops, Kubernetes, Scikitlearn, Aws"
JOB00046,Backend Developer,TCS,Bangalore,Entry,546576.0,"AWS, MongoDB, Python, Flask",2023-04-05,Yes,Finance,2023,4,2023-04,5.47,1,4,"Aws, Mongodb, Python, Flask","Aws, Mongodb, Python, Flask"
JOB00047,Software Engineer,Swiggy,Pune,Entry,625758.0,"JavaScript, C++, SQL, Python, Spring Boot",2023-03-23,No,Finance,2023,3,2023-03,6.26,1,5,"Javascript, C++, Sql, Python, Spring Boot","Javascript, C++, Sql, Python, Spring Boot"
JOB00048,Data Engineer,Google India,Chennai,Principal,3980385.0,"Airflow, Spark, Big Data, Python, dbt",2024-02-08,Yes,EdTech,2024,2,2024-02,39.8,5,5,"Airflow, Spark, Big Data, Python, Dbt","Airflow, Spark, Big Data, Python, Dbt"
JOB00049,Business Intelligence Analyst,Paytm,Delhi NCR,Mid,806851.0,"Tableau, SQL, Power BI, Data Modeling, Excel, Business Analysis",2022-05-22,Yes,E-commerce,2022,5,2022-05,8.07,2,6,"Tableau, Sql, Power Bi, Data Modeling, Excel, Business Analysis","Tableau, Sql, Power Bi, Data Modeling, Excel, Business Analysis"
JOB00050,Cybersecurity Analyst,Swiggy,Kolkata,Lead,2721331.0,"Firewalls, OWASP, Penetration Testing, Python, Incident Response, Network Security, Ethical Hacking",2024-09-17,Hybrid,EdTech,2024,9,2024-09,27.21,4,7,"Firewalls, Owasp, Penetration Testing, Python, Incident Response, Network Security, Ethical Hacking","Firewalls, Owasp, Penetration Testing, Python, Incident Response, Network Security, Ethical Hacking"
JOB00051,Backend Developer,Amazon India,Bangalore,Senior,2014840.0,"FastAPI, SQL, Django, Docker",2024-02-16,No,Healthcare,2024,2,2024-02,20.15,3,4,"Fastapi, Sql, Django, Docker","Fastapi, Sql, Django, Docker"
JOB00052,Data Analyst,Paytm,Chennai,Lead,2944847.0,"Power BI, Statistics, Business Intelligence, Pandas, R, Python",2022-01-21,Yes,Finance,2022,1,2022-01,29.45,4,6,"Power Bi, Statistics, Business Intelligence, Pandas, Python","Power Bi, Statistics, Business Intelligence, Pandas, Python"
JOB00053,Business Intelligence Analyst,Accenture,Kolkata,Lead,3524622.0,"Excel, Python, ETL, Business Analysis, Statistics, Data Modeling, SQL, Power BI",2023-08-26,Hybrid,Finance,2023,8,2023-08,35.25,4,8,"Excel, Python, Etl, Business Analysis, Statistics, Data Modeling, Sql, Power Bi","Excel, Python, Etl, Business Analysis, Statistics, Data Modeling, Sql, Power Bi"
JOB00054,Backend Developer,IBM India,Pune,Principal,5047783.0,"MongoDB, AWS, Flask, REST APIs, Redis, Node.js, SQL",2024-07-18,No,Finance,2024,7,2024-07,50.48,5,7,"Mongodb, Aws, Flask, Rest Apis, Redis, Node.Js, Sql","Mongodb, Aws, Flask, Rest Apis, Redis, Node.Js, Sql"
JOB00055,Machine Learning Engineer,Capgemini,Ahmedabad,Mid,1030876.0,"CI/CD, Azure, REST APIs, PyTorch",2023-01-28,No,Fintech,2023,1,2023-01,10.31,2,4,"Cicd, Azure, Rest Apis, PyTorch","Cicd, Azure, Rest Apis, PyTorch"
JOB00056,Data Engineer,Oracle India,Bangalore,Principal,4686982.0,"SQL, Airflow, dbt, Kafka",2023-01-03,Hybrid,EdTech,2023,1,2023-01,46.87,5,4,"Sql, Airflow, Dbt, Kafka","Sql, Airflow, Dbt, Kafka"
JOB00057,Data Analyst,Wipro,Bangalore,Senior,1595453.0,"R, Power BI, Python, Statistics",2024-10-02,Hybrid,Healthcare,2024,10,2024-10,15.95,3,4,"Power Bi, Python, Statistics","Power Bi, Python, Statistics"
JOB00058,DevOps Engineer,Google India,Ahmedabad,Lead,3423730.0,"AWS, Docker, GCP, Terraform, Kubernetes, Jenkins",2022-05-14,Yes,EdTech,2022,5,2022-05,34.24,4,6,"Aws, Docker, GCP, Terraform, Kubernetes, Jenkins","Aws, Docker, GCP, Terraform, Kubernetes, Jenkins"
JOB00059,AI Engineer,Zoho,Gurgaon,Entry,379548.0,"Vector Databases, Computer Vision, TensorFlow, OpenAI API, Python",2024-05-02,Hybrid,Finance,2024,5,2024-05,3.8,1,5,"Vector Databases, Computer Vision, TensorFlow, Openai Api, Python","Vector Databases, Computer Vision, TensorFlow, Openai Api, Python"
JOB00060,Product Manager,Zoho,Mumbai,Principal,5095421.0,"A/B Testing, SQL, Roadmapping, Communication, Data Analysis, Scrum, User Research",2022-05-04,Yes,Fintech,2022,5,2022-05,50.95,5,7,"Ab Testing, Sql, Roadmapping, Communication, Data Analysis, Scrum, User Research","Ab Testing, Sql, Roadmapping, Communication, Data Analysis, Scrum, User Research"
JOB00061,Software Engineer,Flipkart,Ahmedabad,Senior,1670262.0,"JavaScript, C++, Git, Python, SQL",2022-01-06,Hybrid,EdTech,2022,1,2022-01,16.7,3,5,"Javascript, C++, Git, Python, Sql","Javascript, C++, Git, Python, Sql"
JOB00062,DevOps Engineer,Freshworks,Chennai,Senior,1568450.0,"GCP, Monitoring, Terraform, Kubernetes, Azure",2023-06-26,No,IT,2023,6,2023-06,15.68,3,5,"GCP, Monitoring, Terraform, Kubernetes, Azure","GCP, Monitoring, Terraform, Kubernetes, Azure"
JOB00063,Cloud Architect,Zoho,Gurgaon,Mid,1379094.0,"Terraform, GCP, Azure, AWS, Security",2023-09-22,No,E-commerce,2023,9,2023-09,13.79,2,5,"Terraform, GCP, Azure, Aws, Security","Terraform, GCP, Azure, Aws, Security"
JOB00064,Machine Learning Engineer,TCS,Gurgaon,Lead,3944262.0,"CI/CD, MLOps, Docker, Azure, Model Deployment, AWS",2024-06-15,Yes,E-commerce,2024,6,2024-06,39.44,4,6,"Cicd, Mlops, Docker, Azure, Model Deployment, Aws","Cicd, Mlops, Docker, Azure, Model Deployment, Aws"
JOB00065,Business Intelligence Analyst,Freshworks,Bangalore,Senior,2766079.0,"SQL, Tableau, Python, ETL, Data Modeling, Statistics",2023-07-06,Yes,E-commerce,2023,7,2023-07,27.66,3,6,"Sql, Tableau, Python, Etl, Data Modeling, Statistics","Sql, Tableau, Python, Etl, Data Modeling, Statistics"
JOB00066,Cloud Architect,Flipkart,Delhi NCR,Lead,3083336.0,"Cost Optimization, Docker, Security, AWS, Kubernetes",2023-12-14,No,Fintech,2023,12,2023-12,30.83,4,5,"Cost Optimization, Docker, Security, Aws, Kubernetes","Cost Optimization, Docker, Security, Aws, Kubernetes"
JOB00067,Machine Learning Engineer,TCS,Delhi NCR,Mid,1045824.0,"CI/CD, AWS, Docker, Model Deployment, MLOps, Azure, Python",2024-07-20,No,Healthcare,2024,7,2024-07,10.46,2,7,"Cicd, Aws, Docker, Model Deployment, Mlops, Azure, Python","Cicd, Aws, Docker, Model Deployment, Mlops, Azure, Python"
JOB00068,Machine Learning Engineer,Capgemini,Noida,Lead,3579186.0,"Model Deployment, Azure, AWS, MLOps",2022-04-22,No,EdTech,2022,4,2022-04,35.79,4,4,"Model Deployment, Azure, Aws, Mlops","Model Deployment, Azure, Aws, Mlops"
JOB00069,Product Manager,Wipro,Bangalore,Lead,3811577.0,"Product Strategy, Data Analysis, Scrum, SQL, Agile, Roadmapping, User Research",2024-09-19,Hybrid,EdTech,2024,9,2024-09,38.12,4,7,"Product Strategy, Data Analysis, Scrum, Sql, Agile, Roadmapping, User Research","Product Strategy, Data Analysis, Scrum, Sql, Agile, Roadmapping, User Research"
JOB00070,Product Manager,Wipro,Ahmedabad,Mid,1444261.0,"SQL, Product Strategy, Communication, Data Analysis, A/B Testing",2023-04-06,Yes,Fintech,2023,4,2023-04,14.44,2,5,"Sql, Product Strategy, Communication, Data Analysis, Ab Testing","Sql, Product Strategy, Communication, Data Analysis, Ab Testing"
JOB00071,Cybersecurity Analyst,Google India,Chennai,Mid,1222584.0,"Ethical Hacking, Penetration Testing, Incident Response, Firewalls, Python, OWASP",2022-10-24,Hybrid,EdTech,2022,10,2022-10,12.23,2,6,"Ethical Hacking, Penetration Testing, Incident Response, Firewalls, Python, Owasp","Ethical Hacking, Penetration Testing, Incident Response, Firewalls, Python, Owasp"
JOB00072,Business Intelligence Analyst,Oracle India,Gurgaon,Mid,773201.0,"Business Analysis, ETL, Statistics, Data Modeling, Power BI, SQL",2023-08-03,Hybrid,Fintech,2023,8,2023-08,7.73,2,6,"Business Analysis, Etl, Statistics, Data Modeling, Power Bi, Sql","Business Analysis, Etl, Statistics, Data Modeling, Power Bi, Sql"
JOB00073,DevOps Engineer,Freshworks,Kolkata,Mid,1168238.0,"Terraform, CI/CD, Bash Scripting, Ansible, Jenkins, Azure, AWS, Kubernetes",2023-05-05,Yes,E-commerce,2023,5,2023-05,11.68,2,8,"Terraform, Cicd, Bash Scripting, Ansible, Jenkins, Azure, Aws, Kubernetes","Terraform, Cicd, Bash Scripting, Ansible, Jenkins, Azure, Aws, Kubernetes"
JOB00074,Data Scientist,Paytm,Gurgaon,Senior,2491903.0,"Statistics, Scikit-learn, Data Visualization, Big Data, Deep Learning, R, Python",2022-09-16,No,IT,2022,9,2022-09,24.92,3,7,"Statistics, Scikitlearn, Data Visualization, Big Data, Deep Learning, Python","Statistics, Scikitlearn, Data Visualization, Big Data, Deep Learning, Python"
JOB00075,Cybersecurity Analyst,IBM India,Delhi NCR,Lead,2709110.0,"OWASP, Network Security, Firewalls, Python, Penetration Testing, SIEM, Incident Response, Ethical Hacking",2024-08-19,Hybrid,Fintech,2024,8,2024-08,27.09,4,8,"Owasp, Network Security, Firewalls, Python, Penetration Testing, Siem, Incident Response, Ethical Hacking","Owasp, Network Security, Firewalls, Python, Penetration Testing, Siem, Incident Response, Ethical Hacking"
JOB00076,Full Stack Developer,TCS,Kolkata,Entry,472262.0,"Docker, MongoDB, AWS, JavaScript, SQL, REST APIs, Python, React",2023-04-11,Yes,Fintech,2023,4,2023-04,4.72,1,8,"Docker, Mongodb, Aws, Javascript, Sql, Rest Apis, Python, React","Docker, Mongodb, Aws, Javascript, Sql, Rest Apis, Python, React"
JOB00077,Business Intelligence Analyst,Microsoft India,Delhi NCR,Entry,532615.0,"Data Modeling, SQL, Python, Power BI, Business Analysis",2023-08-24,No,Finance,2023,8,2023-08,5.33,1,5,"Data Modeling, Sql, Python, Power Bi, Business Analysis","Data Modeling, Sql, Python, Power Bi, Business Analysis"
JOB00078,Software Engineer,Freshworks,Hyderabad,Principal,5228270.0,"Docker, C++, Agile, Git, Java, Spring Boot, JavaScript, Python",2024-10-16,Yes,E-commerce,2024,10,2024-10,52.28,5,8,"Docker, C++, Agile, Git, Java, Spring Boot, Javascript, Python","Docker, C++, Agile, Git, Java, Spring Boot, Javascript, Python"
JOB00079,AI Engineer,Swiggy,Delhi NCR,Senior,2463789.0,"Python, OpenAI API, Computer Vision, LLMs, LangChain, TensorFlow",2022-06-01,Hybrid,Healthcare,2022,6,2022-06,24.64,3,6,"Python, Openai Api, Computer Vision, Llms, Langchain, TensorFlow","Python, Openai Api, Computer Vision, Llms, Langchain, TensorFlow"
JOB00080,AI Engineer,Google India,Gurgaon,Lead,3947692.0,"OpenAI API, Computer Vision, NLP, Vector Databases, Prompt Engineering, Python",2023-05-01,No,EdTech,2023,5,2023-05,39.48,4,6,"Openai Api, Computer Vision, NLP, Vector Databases, Prompt Engineering, Python","Openai Api, Computer Vision, NLP, Vector Databases, Prompt Engineering, Python"
JOB00081,Backend Developer,Zoho,Delhi NCR,Senior,1546010.0,"FastAPI, Python, Redis, Docker, SQL, REST APIs, Node.js",2023-04-17,Yes,Fintech,2023,4,2023-04,15.46,3,7,"Fastapi, Python, Redis, Docker, Sql, Rest Apis, Node.Js","Fastapi, Python, Redis, Docker, Sql, Rest Apis, Node.Js"
JOB00082,Software Engineer,Infosys,Gurgaon,Principal,4551204.0,"Docker, Python, Java, Spring Boot, Microservices",2024-06-21,No,Fintech,2024,6,2024-06,45.51,5,5,"Docker, Python, Java, Spring Boot, Microservices","Docker, Python, Java, Spring Boot, Microservices"
JOB00083,Data Analyst,Paytm,Pune,Entry,454722.0,"Data Visualization, Python, Tableau, Excel, Power BI, R",2024-12-23,Yes,Healthcare,2024,12,2024-12,4.55,1,6,"Data Visualization, Python, Tableau, Excel, Power Bi","Data Visualization, Python, Tableau, Excel, Power Bi"
