job_id,job_title,company,location,experience_level,salary_inr,skills_required,date_posted,remote,industry
JOB00036,Data Engineer,TCS,Pune,Senior,2475150,"Snowflake, Databricks, SQL, ETL, dbt, AWS, Kafka",2022-12-14,Hybrid,Fintech
JOB00037,AI Engineer,HCL Technologies,Bangalore,Principal,4905881,"NLP, Computer Vision, Vector Databases, Prompt Engineering",2023-02-12,Yes,Finance
JOB00038,DevOps Engineer,HCL Technologies,Bangalore,Principal,3805463,"Jenkins, Bash Scripting, Linux, Azure, Monitoring, Ansible, Terraform",2023-05-15,Yes,E-commerce
JOB00039,Software Engineer,Paytm,Noida,Mid,1429716,"SQL, Java, Git, JavaScript, Microservices, Agile, Docker, Python",2024-08-09,Hybrid,Healthcare
JOB00040,Product Manager,Paytm,Ahmedabad,Lead,3784825,"Roadmapping, A/B Testing, Agile, User Research, Data Analysis, SQL, Communication, Product Strategy",2023-07-22,Hybrid,Finance
JOB00041,Backend Developer,Accenture,Kolkata,Lead,2662494,"Django, FastAPI, Flask, Redis, Java, SQL",2022-11-05,Hybrid,Finance
JOB00042,Business Intelligence Analyst,Google India,Gurgaon,Mid,767348,"Business Analysis, ETL, Data Modeling, Excel, Python, SQL, Statistics",2024-05-10,Hybrid,IT
JOB00043,Cybersecurity Analyst,Accenture,Pune,Principal,5095433,"Network Security, SIEM, Incident Response, Penetration Testing, Ethical Hacking, Firewalls, OWASP",2024-09-26,No,E-commerce
JOB00044,Data Scientist,Freshworks,Gurgaon,Lead,3204914,"NLP, Deep Learning, R, Big Data, NumPy, Pandas, Python",2024-03-17,Hybrid,IT
JOB00045,Machine Learning Engineer,Amazon India,Kolkata,Lead,2784582,"PyTorch, Python, Docker, MLOps, Kubernetes, Scikit-learn, AWS",2023-11-01,No,E-commerce
JOB00046,Backend Developer,TCS,Bangalore,Entry,546576,"AWS, MongoDB, Python, Flask",2023-04-05,Yes,Finance
JOB00047,Software Engineer,Swiggy,Pune,Entry,625758,"JavaScript, C++, SQL, Python, Spring Boot",2023-03-23,No,Finance
JOB00048,Data Engineer,Google India,Chennai,Principal,3980385,"Airflow, Spark, Big Data, Python, dbt",2024-02-08,Yes,EdTech
JOB00049,Business Intelligence Analyst,Paytm,Delhi NCR,Mid,806851,"Tableau, SQL, Power BI, Data Modeling, Excel, Business Analysis",2022-05-22,Yes,E-commerce
JOB00050,Cybersecurity Analyst,Swiggy,Kolkata,Lead,2721331,"Firewalls, OWASP, Penetration Testing, Python, Incident Response, Network Security, Ethical Hacking",2024-09-17,Hybrid,EdTech
JOB00051,Backend Developer,Amazon India,Bangalore,Senior,2014840,"FastAPI, SQL, Django, Docker",2024-02-16,No,Healthcare
JOB00052,Data Analyst,Paytm,Chennai,Lead,2944847,"Power BI, Statistics, Business Intelligence, Pandas, R, Python",2022-01-21,Yes,Finance
JOB00053,Business Intelligence Analyst,Accenture,Kolkata,Lead,3524622,"Excel, Python, ETL, Business Analysis, Statistics, Data Modeling, SQL, Power BI",2023-08-26,Hybrid,Finance
JOB00054,Backend Developer,IBM India,Pune,Principal,5047783,"MongoDB, AWS, Flask, REST APIs, Redis, Node.js, SQL",2024-07-18,No,Finance
JOB00055,Machine Learning Engineer,Capgemini,Ahmedabad,Mid,1030876,"CI/CD, Azure, REST APIs, PyTorch",2023-01-28,No,Fintech
JOB00056,Data Engineer,Oracle India,Bangalore,Principal,4686982,"SQL, Airflow, dbt, Kafka",2023-01-03,Hybrid,EdTech
JOB00057,Data Analyst,Wipro,Bangalore,Senior,1595453,"R, Power BI, Python, Statistics",2024-10-02,Hybrid,Healthcare
JOB00058,DevOps Engineer,Google India,Ahmedabad,Lead,3423730,"AWS, Docker, GCP, Terraform, Kubernetes, Jenkins",2022-05-14,Yes,EdTech
JOB00059,AI Engineer,Zoho,Gurgaon,Entry,379548,"Vector Databases, Computer Vision, TensorFlow, OpenAI API, Python",2024-05-02,Hybrid,Finance
JOB00060,Product Manager,Zoho,Mumbai,Principal,5095421,"A/B Testing, SQL, Roadmapping, Communication, Data Analysis, Scrum, User Research",2022-05-04,Yes,Fintech
JOB00061,Software Engineer,Flipkart,Ahmedabad,Senior,1670262,"JavaScript, C++, Git, Python, SQL",2022-01-06,Hybrid,EdTech
JOB00062,DevOps Engineer,Freshworks,Chennai,Senior,1568450,"GCP, Monitoring, Terraform, Kubernetes, Azure",2023-06-26,No,IT
JOB00063,Cloud Architect,Zoho,Gurgaon,Mid,1379094,"Terraform, GCP, Azure, AWS, Security",2023-09-22,No,E-commerce
JOB00064,Machine Learning Engineer,TCS,Gurgaon,Lead,3944262,"CI/CD, MLOps, Docker, Azure, Model Deployment, AWS",2024-06-15,Yes,E-commerce
JOB00065,Business Intelligence Analyst,Freshworks,Bangalore,Senior,2766079,"SQL, Tableau, Python, ETL, Data Modeling, Statistics",2023-07-06,Yes,E-commerce
JOB00066,Cloud Architect,Flipkart,Delhi NCR,Lead,3083336,"Cost Optimization, Docker, Security, AWS, Kubernetes",2023-12-14,No,Fintech
JOB00067,Machine Learning Engineer,TCS,Delhi NCR,Mid,1045824,"CI/CD, AWS, Docker, Model Deployment, MLOps, Azure, Python",2024-07-20,No,Healthcare
JOB00068,Machine Learning Engineer,Capgemini,Noida,Lead,3579186,"Model Deployment, Azure, AWS, MLOps",2022-04-22,No,EdTech
JOB00069,Product Manager,Wipro,Bangalore,Lead,3811577,"Product Strategy, Data Analysis, Scrum, SQL, Agile, Roadmapping, User Research",2024-09-19,Hybrid,EdTech
JOB00070,Product Manager,Wipro,Ahmedabad,Mid,1444261,"SQL, Product Strategy, Communication, Data Analysis, A/B Testing",2023-04-06,Yes,Fintech
JOB00071,Cybersecurity Analyst,Google India,Chennai,Mid,1222584,"Ethical Hacking, Penetration Testing, Incident Response, Firewalls, Python, OWASP",2022-10-24,Hybrid,EdTech
JOB00072,Business Intelligence Analyst,Oracle India,Gurgaon,Mid,773201,"Business Analysis, ETL, Statistics, Data Modeling, Power BI, SQL",2023-08-03,Hybrid,Fintech
JOB00073,DevOps Engineer,Freshworks,Kolkata,Mid,1168238,"Terraform, CI/CD, Bash Scripting, Ansible, Jenkins, Azure, AWS, Kubernetes",2023-05-05,Yes,E-commerce
JOB00074,Data Scientist,Paytm,Gurgaon,Senior,2491903,"Statistics, Scikit-learn, Data Visualization, Big Data, Deep Learning, R, Python",2022-09-16,No,IT
JOB00075,Cybersecurity Analyst,IBM India,Delhi NCR,Lead,2709110,"OWASP, Network Security, Firewalls, Python, Penetration Testing, SIEM, Incident Response, Ethical Hacking",2024-08-19,Hybrid,Fintech
JOB00076,Full Stack Developer,TCS,Kolkata,Entry,472262,"Docker, MongoDB, AWS, JavaScript, SQL, REST APIs, Python, React",2023-04-11,Yes,Fintech
JOB00077,Business Intelligence Analyst,Microsoft India,Delhi NCR,Entry,532615,"Data Modeling, SQL, Python, Power BI, Business Analysis",2023-08-24,No,Finance
JOB00078,Software Engineer,Freshworks,Hyderabad,Principal,5228270,"Docker, C++, Agile, Git, Java, Spring Boot, JavaScript, Python",2024-10-16,Yes,E-commerce
JOB00079,AI Engineer,Swiggy,Delhi NCR,Senior,2463789,"Python, OpenAI API, Computer Vision, LLMs, LangChain, TensorFlow",2022-06-01,Hybrid,Healthcare
JOB00080,AI Engineer,Google India,Gurgaon,Lead,3947692,"OpenAI API, Computer Vision, NLP, Vector Databases, Prompt Engineering, Python",2023-05-01,No,EdTech
JOB00081,Backend Developer,Zoho,Delhi NCR,Senior,1546010,"FastAPI, Python, Redis, Docker, SQL, REST APIs, Node.js",2023-04-17,Yes,Fintech
JOB00082,Software Engineer,Infosys,Gurgaon,Principal,4551204,"Docker, Python, Java, Spring Boot, Microservices",2024-06-21,No,Fintech
JOB00083,Data Analyst,Paytm,Pune,Entry,454722,"Data Visualization, Python, Tableau, Excel, Power BI, R",2024-12-23,Yes,Healthcare
JOB00084,NLP Engineer,TCS,Kolkata,Lead,3118956,"NLP, NLTK, Text Processing, Deep Learning, SpaCy, BERT",2024-01-20,Yes,Healthcare
JOB00085,Cloud Architect,TechCorp India,Gurgaon,Entry,538438,"Terraform, Docker, Microservices, AWS, Security, Azure",2024-08-23,Hybrid,Healthcare
JOB00086,NLP Engineer,Infosys,Bangalore,Principal,4428481,"NLTK, Transformers, SpaCy, Python",2022-10-14,No,E-commerce
JOB00087,Machine Learning Engineer,Zomato,Gurgaon,Entry,423102,"PyTorch, MLOps, AWS, Kubernetes, Azure, FastAPI, REST APIs, Scikit-learn",2022-07-22,No,Healthcare
JOB00088,Data Scientist,Infosys,Kolkata,Senior,1955647,"R, TensorFlow, SQL, Machine Learning, Scikit-learn, Data Visualization, Pandas",2024-01-05,No,Finance
JOB00089,Machine Learning Engineer,Accenture,Hyderabad,Lead,2692253,"Model Deployment, REST APIs, Deep Learning, Python, FastAPI",2023-11-15,Hybrid,Finance
JOB00090,Machine Learning Engineer,HCL Technologies,Noida,Principal,4368880,"Scikit-learn, REST APIs, Kubernetes, PyTorch, Deep Learning, Python, Docker, MLOps",2022-10-24,No,Finance
JOB00091,Machine Learning Engineer,TechCorp India,Hyderabad,Entry,369102,"Kubernetes, FastAPI, Scikit-learn, Deep Learning",2023-10-26,No,IT
JOB00092,Data Analyst,Paytm,Gurgaon,Lead,3603281,"Excel, Pandas, R, Data Visualization",2024-01-12,Yes,E-commerce
JOB00093,Cloud Architect,Infosys,Ahmedabad,Mid,1344986,"Networking, Terraform, Security, Microservices",2022-03-05,No,E-commerce
JOB00094,AI Engineer,Zoho,Gurgaon,Entry,557042,"TensorFlow, Vector Databases, LLMs, Computer Vision, LangChain, Python, OpenAI API",2023-07-18,Hybrid,Fintech
JOB00095,Frontend Developer,Accenture,Kolkata,Lead,3752821,"HTML, Redux, TypeScript, JavaScript, CSS, GraphQL, React, Angular",2024-07-13,No,E-commerce
JOB00096,Full Stack Developer,TCS,Mumbai,Lead,2699409,"Docker, MongoDB, SQL, HTML, Python, AWS",2024-08-29,Yes,IT
JOB00097,Full Stack Developer,Microsoft India,Kolkata,Entry,690379,"React, REST APIs, JavaScript, MongoDB, AWS, HTML",2024-04-21,Hybrid,IT
JOB00098,Backend Developer,Accenture,Mumbai,Principal,4810505,"Java, Redis, MongoDB, Django, Node.js, Flask",2024-09-14,No,EdTech
JOB00099,Frontend Developer,Zoho,Pune,Entry,699824,"Webpack, Angular, TypeScript, Redux, HTML, CSS",2022-02-23,Yes,Finance
JOB00100,Backend Developer,TCS,Noida,Senior,2212663,"Python, Node.js, Docker, REST APIs, Java, SQL",2022-03-04,Yes,E-commerce
JOB00101,Full Stack Developer,Cognizant,Gurgaon,Lead,3214910,"MongoDB, SQL, CSS, Python, JavaScript",2022-11-15,Yes,Fintech
JOB00102,Machine Learning Engineer,Flipkart,Mumbai,Senior,2429275,"AWS, Deep Learning, REST APIs, MLOps, Docker, Scikit-learn, TensorFlow",2023-12-08,No,Fintech
JOB00103,AI Engineer,Capgemini,Hyderabad,Principal,5541085,"Computer Vision, Python, NLP, OpenAI API, Vector Databases, LangChain, LLMs, Prompt Engineering",2023-09-10,No,Healthcare
JOB00104,Frontend Developer,Google India,Bangalore,Entry,304052,"TypeScript, Vue.js, GraphQL, Angular, HTML, React, Redux",2022-05-28,No,IT
JOB00105,DevOps Engineer,Cognizant,Gurgaon,Entry,464133,"Jenkins, Linux, Monitoring, Bash Scripting, GCP, Docker, Azure, Ansible",2023-10-28,No,Fintech
JOB00106,NLP Engineer,Oracle India,Delhi NCR,Senior,1684821,"NLP, BERT, SpaCy, Transformers, Deep Learning, NLTK, Python",2024-03-21,Yes,Healthcare
JOB00107,Product Manager,IBM India,Chennai,Mid,780089,"Agile, Data Analysis, Roadmapping, Scrum, User Research, Communication, Product Strategy, SQL",2022-10-27,Yes,EdTech
JOB00108,Data Analyst,TCS,Ahmedabad,Entry,392875,"Pandas, Business Intelligence, Statistics, Data Visualization, R, Python, Excel",2024-06-19,No,Fintech
JOB00109,Backend Developer,Swiggy,Bangalore,Senior,2740297,"Flask, MongoDB, Java, FastAPI",2024-08-03,Yes,Healthcare
JOB00110,Cybersecurity Analyst,Swiggy,Gurgaon,Senior,1660916,"Incident Response, Penetration Testing, Ethical Hacking, Firewalls",2022-03-26,Hybrid,Finance
JOB00111,Frontend Developer,Swiggy,Ahmedabad,Principal,5494932,"Vue.js, JavaScript, Redux, GraphQL, Webpack, TypeScript, React, HTML",2023-05-23,Hybrid,EdTech
JOB00112,Data Engineer,TCS,Delhi NCR,Mid,1081574,"Airflow, AWS, Databricks, Kafka, Python, Big Data",2023-11-17,Yes,EdTech
JOB00113,AI Engineer,Oracle India,Kolkata,Lead,3095899,"Vector Databases, PyTorch, LLMs, Python, Computer Vision, TensorFlow",2023-12-18,Yes,EdTech
JOB00114,Business Intelligence Analyst,Microsoft India,Bangalore,Entry,462310,"Business Analysis, ETL, Statistics, Tableau, Data Modeling, SQL, Power BI, Python",2024-11-07,No,Healthcare
JOB00115,Data Analyst,Byju's,Noida,Mid,1058332,"Tableau, Business Intelligence, Python, Excel, SQL, Pandas, Statistics",2024-11-05,Yes,Fintech
JOB00116,Frontend Developer,Infosys,Kolkata,Principal,4049659,"TypeScript, Vue.js, GraphQL, React, CSS, HTML, Webpack, Redux",2024-06-15,No,Fintech
JOB00117,Business Intelligence Analyst,Freshworks,Ahmedabad,Mid,1165776,"Data Modeling, Python, Tableau, Statistics, Business Analysis, Power BI, ETL, SQL",2024-01-24,No,Healthcare
JOB00118,Product Manager,Microsoft India,Noida,Lead,3554671,"Roadmapping, Scrum, Communication, Agile, SQL, User Research, Data Analysis, Product Strategy",2024-09-11,Yes,Fintech
JOB00119,Cybersecurity Analyst,Flipkart,Mumbai,Principal,4022936,"Python, Incident Response, OWASP, SIEM, Penetration Testing, Ethical Hacking",2022-10-29,Yes,E-commerce
JOB00120,NLP Engineer,TechCorp India,Delhi NCR,Senior,1555931,"Python, SpaCy, LLMs, NLP, BERT, Text Processing, TensorFlow",2023-04-05,Yes,Fintech
JOB00121,AI Engineer,Swiggy,Gurgaon,Senior,1806287,"Python, Computer Vision, OpenAI API, LLMs, TensorFlow",2024-08-18,Yes,IT
JOB00122,Data Scientist,Oracle India,Chennai,Senior,1952260,"Pandas, NLP, NumPy, Spark, Statistics",2022-08-16,No,IT
JOB00123,Data Scientist,Oracle India,Kolkata,Mid,1140218,"R, Machine Learning, Big Data, Spark, NumPy, Pandas, Python, TensorFlow",2022-10-22,Yes,EdTech
JOB00124,Frontend Developer,Zomato,Bangalore,Mid,1298384,"Vue.js, React, CSS, JavaScript, HTML, Redux, TypeScript",2024-03-10,Hybrid,E-commerce
JOB00125,Frontend Developer,HCL Technologies,Bangalore,Senior,1534062,"React, CSS, Angular, GraphQL, TypeScript, JavaScript",2023-11-12,No,EdTech
JOB00126,Frontend Developer,Capgemini,Bangalore,Mid,1417941,"Redux, Vue.js, GraphQL, JavaScript, CSS, Angular, TypeScript",2023-08-24,Yes,IT
JOB00127,Frontend Developer,Infosys,Delhi NCR,Senior,2580837,"GraphQL, Redux, HTML, JavaScript, CSS, React, Vue.js",2024-01-02,No,IT
JOB00128,Product Manager,IBM India,Mumbai,Senior,2416353,"A/B Testing, Roadmapping, Scrum, Agile, Data Analysis, SQL, User Research",2024-11-29,Hybrid,E-commerce
JOB00129,Machine Learning Engineer,Oracle India,Pune,Lead,3763436,"Azure, Docker, Kubernetes, TensorFlow, Model Deployment",2023-11-03,No,EdTech
JOB00130,Business Intelligence Analyst,TCS,Kolkata,Lead,2849479,"ETL, Python, SQL, Statistics, Power BI, Excel, Tableau",2022-04-28,No,EdTech
JOB00131,Product Manager,Microsoft India,Kolkata,Mid,732653,"A/B Testing, Product Strategy, Agile, Communication, Roadmapping",2024-01-21,Hybrid,IT
JOB00132,Data Engineer,Amazon India,Pune,Mid,1412048,"Kafka, dbt, Snowflake, Spark, Hadoop, Airflow, Big Data",2024-03-26,Yes,IT
JOB00133,Data Scientist,Capgemini,Mumbai,Mid,1223285,"Statistics, Pandas, Machine Learning, PyTorch, NLP, R, TensorFlow, Scikit-learn",2024-10-02,Yes,IT
JOB00134,DevOps Engineer,Oracle India,Hyderabad,Mid,1448022,"Kubernetes, Bash Scripting, CI/CD, Linux, Monitoring, GCP, Jenkins",2023-08-18,Hybrid,Fintech
JOB00135,NLP Engineer,Byju's,Gurgaon,Mid,1079052,"BERT, NLP, Text Processing, SpaCy, Deep Learning, LLMs, NLTK, Python",2024-01-10,No,E-commerce
JOB00136,Product Manager,Amazon India,Mumbai,Principal,4044299,"Agile, Communication, Scrum, Data Analysis, User Research, SQL, A/B Testing, Product Strategy",2022-09-14,No,E-commerce
JOB00137,AI Engineer,Wipro,Noida,Principal,4944999,"LangChain, PyTorch, Vector Databases, NLP, Computer Vision",2022-04-24,Yes,Healthcare
JOB00138,Data Analyst,Capgemini,Noida,Mid,1038334,"Statistics, R, Power BI, Data Visualization, SQL",2023-05-29,No,Finance
JOB00139,AI Engineer,Freshworks,Bangalore,Senior,2788549,"TensorFlow, LangChain, PyTorch, Computer Vision, Prompt Engineering, Vector Databases, LLMs, OpenAI API",2023-11-23,Yes,IT
JOB00140,Data Scientist,Zomato,Noida,Principal,4610047,"Data Visualization, NumPy, Statistics, Big Data, Scikit-learn",2022-03-04,No,Fintech
JOB00141,Backend Developer,Swiggy,Chennai,Lead,3013546,"FastAPI, SQL, Java, Python, Node.js, Django, REST APIs",2024-09-18,No,EdTech
JOB00142,Data Analyst,Accenture,Ahmedabad,Senior,2169655,"Data Visualization, Python, Statistics, Power BI, Business Intelligence, SQL",2023-10-16,Yes,Healthcare
JOB00143,DevOps Engineer,Cognizant,Delhi NCR,Mid,847720,"Docker, GCP, Jenkins, Linux",2023-05-24,Hybrid,Fintech
JOB00144,Frontend Developer,Paytm,Ahmedabad,Mid,867082,"GraphQL, Redux, Webpack, Vue.js, Angular, JavaScript, HTML",2024-03-16,Yes,Finance
JOB00145,Data Engineer,Byju's,Bangalore,Senior,1602043,"Airflow, Snowflake, Big Data, Databricks",2023-08-09,Yes,E-commerce
JOB00146,Data Analyst,Byju's,Pune,Senior,2267091,"Statistics, SQL, Data Visualization, R, Power BI, Business Intelligence, Excel",2024-01-13,Yes,E-commerce
JOB00147,Cloud Architect,Byju's,Delhi NCR,Lead,3653133,"Cost Optimization, Azure, GCP, AWS, Kubernetes, Security",2023-11-26,Yes,Finance
JOB00148,Data Engineer,HCL Technologies,Gurgaon,Principal,5183539,"Python, dbt, Databricks, Hadoop, Kafka, AWS, SQL, Airflow",2024-07-24,Hybrid,Finance
JOB00149,Frontend Developer,Zomato,Gurgaon,Principal,4836011,"TypeScript, HTML, CSS, GraphQL, Webpack",2024-12-26,No,E-commerce
JOB00150,Cybersecurity Analyst,IBM India,Gurgaon,Entry,493125,"Python, Penetration Testing, Ethical Hacking, SIEM, Network Security, Firewalls",2024-08-29,Hybrid,Finance
JOB00151,Business Intelligence Analyst,Capgemini,Bangalore,Entry,605934,"Power BI, Business Analysis, Tableau, ETL, Python, SQL, Statistics",2022-08-14,No,Healthcare
JOB00152,Full Stack Developer,Paytm,Chennai,Mid,1133020,"Docker, REST APIs, AWS, JavaScript, MongoDB",2022-10-10,Hybrid,Healthcare
JOB00153,AI Engineer,Zoho,Ahmedabad,Lead,3602005,"LLMs, PyTorch, OpenAI API, Computer Vision, LangChain, Prompt Engineering, Vector Databases",2023-06-26,Yes,Finance
JOB00154,Backend Developer,Microsoft India,Noida,Principal,4751996,"FastAPI, AWS, Django, SQL, Flask",2024-09-09,Hybrid,Healthcare
JOB00155,Backend Developer,Swiggy,Pune,Entry,600667,"REST APIs, AWS, Flask, Node.js, FastAPI, Python, MongoDB, Docker",2023-12-11,Hybrid,E-commerce
JOB00156,Software Engineer,Accenture,Bangalore,Mid,1264739,"Git, Spring Boot, C++, Python, Agile, REST APIs",2023-05-06,Hybrid,EdTech
JOB00157,Software Engineer,TechCorp India,Noida,Mid,755040,"Microservices, REST APIs, SQL, Python",2022-10-09,Yes,E-commerce
JOB00158,AI Engineer,Freshworks,Chennai,Lead,3501282,"Computer Vision, LLMs, Vector Databases, LangChain, Python",2022-07-03,Hybrid,Fintech
JOB00159,Business Intelligence Analyst,Infosys,Bangalore,Entry,391784,"Power BI, SQL, Business Analysis, Excel, ETL, Tableau, Statistics",2023-08-16,No,EdTech
JOB00160,Data Engineer,Swiggy,Pune,Entry,475658,"Snowflake, Databricks, ETL, Big Data, dbt, Spark",2024-10-29,Yes,IT
JOB00161,Frontend Developer,Zoho,Kolkata,Mid,1466634,"HTML, Vue.js, JavaScript, CSS, GraphQL, TypeScript, React",2022-12-26,No,EdTech
JOB00162,Frontend Developer,TechCorp India,Pune,Entry,510152,"Vue.js, Webpack, Redux, GraphQL",2023-05-24,No,Finance
JOB00163,DevOps Engineer,Infosys,Mumbai,Senior,2191274,"Linux, Monitoring, Docker, GCP, CI/CD, Terraform",2023-04-29,No,Healthcare
JOB00164,Data Analyst,HCL Technologies,Ahmedabad,Lead,3938800,"Power BI, Excel, Business Intelligence, Python, Pandas, R, Statistics, SQL",2024-09-06,Hybrid,EdTech
JOB00165,Frontend Developer,Paytm,Delhi NCR,Lead,3972076,"Redux, GraphQL, Angular, TypeScript, React, HTML, JavaScript, Vue.js",2024-07-03,Yes,EdTech
JOB00166,Machine Learning Engineer,Freshworks,Ahmedabad,Entry,587125,"Scikit-learn, Deep Learning, Azure, PyTorch, Model Deployment, Kubernetes, AWS, Python",2023-02-25,Yes,EdTech
JOB00167,DevOps Engineer,TechCorp India,Kolkata,Entry,537729,"Ansible, Jenkins, Terraform, Docker, Linux",2023-09-24,No,IT
JOB00168,Business Intelligence Analyst,Byju's,Bangalore,Mid,1306403,"SQL, Business Analysis, Power BI, ETL",2022-05-11,Yes,E-commerce
JOB00169,Data Scientist,Microsoft India,Kolkata,Senior,2357456,"Data Visualization, Deep Learning, Spark, Scikit-learn, NLP",2024-05-10,No,E-commerce
